ts,100100024_pressure,100100024_flow,100100020_pressure,100100020_flow,100100017_pressure,100100017_flow,79_pressure,79_flow,12167_pressure,12167_flow,100004_pressure,100004_flow,1002196_pressure,1002196_flow,100100009_pressure,100100009_flow,100100028_pressure,100100028_flow,100100006_pressure,100100006_flow,100100019_pressure,100100019_flow,100100005_pressure,100100005_flow,100100008_pressure,100100008_flow,100100014_pressure,100100014_flow,11142_pressure,11142_flow,12166_pressure,12166_flow,hour_in_wm3,hour_out_wm3,100100022_flow,10012167_flow
2023-02-01 00:00:00,2300.3473,17370.951,934.96344,16008.771,1968.4069,27759.0,1956.689,30758.92,658.56,16374.45604,695.47427,0.0,610.0371,4046.4062,0.0,908.0,1234.375,5694.940756,1318.9924,104.43164,1260.4167,9162.252,1452.3385,0.0,1378.7615,0.0,1509.3589,609.9702,941.12897,5406.25,832.03125,25843.7915,11.168398604166667,9.141067975887498,0.0,0
2023-02-01 01:00:00,2312.5,16896.58,928.90515,16113.096,1986.8519,27812.0,1974.9169,30117.28,664.8,16837.073,700.5606,0.0,610.0371,4046.4062,0.0,908.0,1281.25,5720.33181,1363.661,104.43164,1307.2917,8569.187,1452.3385,0.0,1419.9038,0.0,1540.5552,626.28345,943.299,6374.75,832.03125,25450.9145,11.004417958333333,8.948019748745834,0.0,0
2023-02-01 02:00:00,2321.1806,16789.684,930.62317,12658.337,1973.6149,25764.0,1962.9819,30355.07,659.68,17279.834,699.09126,0.0,610.0371,4046.4062,0.0,908.0,1328.125,5554.6143,1405.7075,104.43164,1350.6944,8309.837,1452.3385,0.0,1455.8016,0.0,1563.8846,632.73,947.42197,6384.75,832.03125,25600.999,10.742797541666665,8.849035138466668,0.0,0
2023-02-01 03:00:00,2312.5,12152.016,845.084,10651.447,1968.4069,25869.0,1959.0759,30487.15,655.2,17436.7706,699.09126,0.0,610.0371,4046.4062,0.0,908.0,1335.9375,5616.953,1417.0103,104.43164,1368.0556,8007.523,1452.3385,0.0,1462.764,0.0,1557.1028,648.91614,921.165,10641.0,832.03125,26210.494,10.2257796625,8.54074903665,0.0,0
2023-02-01 04:00:00,2315.972,16833.596,819.6754,16321.074,1973.8319,25875.0,1964.067,32579.51,655.68,17311.039,699.09126,0.0,610.0371,4046.4062,0.0,908.0,1328.125,6100.7656,1409.6861,104.43164,1362.8472,8111.4897,1452.3385,0.0,1455.8016,0.0,1550.0498,726.08105,894.47397,10840.5,832.03125,26410.472,10.44182645,8.748987814308334,0.0,0
2023-02-01 05:00:00,2321.1806,17310.855,867.23737,16850.283,1963.1989,25818.0,1953.0,32620.12,624.79997,18790.4982,699.09126,0.0,610.0371,4046.4062,0.0,908.0,1273.4375,7553.5545,1375.5968,104.43164,1335.0694,8515.673,1452.3385,0.0,1430.9353,0.0,1535.401,717.8229,914.221,9582.5,828.125,29569.3334,11.052822091666668,9.698537096920836,0.0,0
2023-02-01 06:00:00,2336.8056,23318.21,881.88574,36375.05,1960.812,30820.0,1945.4049,27477.85,530.72,24568.0039,699.09126,0.0,610.0371,4046.4062,0.0,908.0,1140.625,11484.3996,1309.5884,104.43164,1281.25,9415.083,1452.3385,0.0,1390.2452,0.0,1524.5502,791.58044,846.29995,0.0,828.125,38091.572,13.086988241666667,11.856717356816667,0.0,0
2023-02-01 07:00:00,2319.4444,21884.72,889.1195,44171.56,1950.179,40326.0,1929.781,27146.3,557.76,21002.072,616.9183,762.5309,610.0371,4046.4062,0.0,908.0,992.1875,15497.6044,1184.5341,104.43164,1168.4028,7831.3706,1452.3385,0.0,1276.4034,0.0,1444.5248,746.3744,834.582,0.0,804.6875,38893.2434,14.6559444,13.884949932704167,0.0,0
2023-02-01 08:00:00,2309.0277,30659.709,876.37,46006.96,1946.7069,33819.0,1931.734,30424.1,543.68,21236.9456,610.81475,276.8822,665.883,3207.9375,0.0,908.0,953.125,6260.8449,1110.3878,104.43164,1060.7638,10352.081,1452.3385,0.0,1204.0653,0.0,1390.2704,959.96045,817.222,0.0,816.40625,32720.0006,15.497602679166667,14.263540856516666,0.0,0
2023-02-01 09:00:00,2309.0277,30544.72,876.91254,44422.957,1932.8189,35617.0,1916.327,29912.57,420.95998,23953.0906,522.4252,272.46143,605.6244,3058.5625,0.0,908.0,925.78125,5079.1511,1083.0802,104.43164,1019.0972,12411.828,1452.3385,0.0,1176.577,0.0,1367.4835,837.1892,816.571,0.0,781.25,32812.8842,15.86804165833333,14.233877673170833,0.0,0
