ts,100100024_pressure,100100024_flow,100100020_pressure,100100020_flow,100100017_pressure,100100017_flow,79_pressure,79_flow,12167_pressure,12167_flow,100004_pressure,100004_flow,1002196_pressure,1002196_flow,100100009_pressure,100100009_flow,100100028_pressure,100100028_flow,100100006_pressure,100100006_flow,100100019_pressure,100100019_flow,100100005_pressure,100100005_flow,100100008_pressure,100100008_flow,100100014_pressure,100100014_flow,11142_pressure,11142_flow,12166_pressure,12166_flow,hour_in_wm3,hour_out_wm3,100100022_flow,10012167_flow
2022-11-01 00:00:00,1607.6388,10605.207,847.2541,0.0,1847.9719,8521.0,1842.7639,27965.305,730.72,4949.384,709.603,0.0,728.38414,1904.6719,0.0,908.0,1600.25,0.0,1604.5464,104.43164,1538.1944,9893.964,1585.9319,0.0,1618.2907,1076.7812,1666.9681,613.4824,918.99496,8828.75,746.56624,6008.6416,5.464308005000001,3.944405801875001,0.0,0.0
2022-11-01 01:00:00,1607.6388,8830.926,855.6633,0.0,1860.775,8706.0,1856.6519,27897.285,729.28,4953.1074,709.603,0.0,728.38414,1904.6719,0.0,908.0,1610.625,0.0,1612.7748,104.43164,1548.6112,9937.466,1585.9319,0.0,1627.6945,615.4219,1678.904,520.8611,922.467,8376.0,747.0251,6000.908,5.214903747500001,3.9883679237041667,0.0,0.0
2022-11-01 02:00:00,1607.6388,8467.259,864.8864,0.0,1867.502,8740.0,1862.945,27977.512,731.52,4966.456,709.603,0.0,728.38414,1904.6719,0.0,908.0,1612.875,0.0,1615.2163,104.43164,1550.3472,9676.974,1585.9319,0.0,1630.5882,1029.8125,1682.4306,467.21063,926.58997,7932.5,746.1025,6320.8105,5.129051355,3.975871731858333,0.0,0.0
2022-11-01 03:00:00,1607.6388,7770.214,856.4772,0.0,1870.974,8764.0,1867.502,28587.094,727.52,5240.248,709.603,0.0,728.38414,1904.6719,0.0,908.0,1616.1876,0.0,1615.9397,104.43164,1553.8194,9839.646,1585.9319,0.0,1631.6731,640.4375,1677.2764,2905.629,918.99496,8372.25,746.05256,6305.077,5.127757643333333,4.060513459120832,0.0,0.0
2022-11-01 04:00:00,1598.9583,8914.518,854.307,0.0,1858.6049,8717.0,1856.6519,29050.488,719.19996,6457.165,709.603,0.0,728.38414,1904.6719,0.0,908.0,1600.5626,0.0,1600.7488,104.43164,1536.4584,10067.812,1585.9319,0.0,1614.5833,665.46875,1661.0001,3482.4385,917.04196,7892.125,744.9438,7288.0596,5.1609369533333345,4.310570260583334,0.0,0.0
2022-11-01 05:00:00,1588.5417,16435.256,778.35254,4669.716,1845.802,11364.0,1842.5469,29067.3,696.48,9449.816,709.603,0.0,728.38414,1904.6719,0.0,908.0,1556.375,0.0,1564.5797,104.43164,1501.7362,10663.017,1585.9319,0.0,1578.1431,713.3125,1620.8518,3716.8574,886.66195,9895.5,740.86374,10161.979,5.836432326666668,5.0647921828125,0.0,0.0
2022-11-01 06:00:00,1579.8612,26452.295,755.47577,23307.953,1853.3969,16252.0,1844.934,27373.59,646.56,11788.766,709.603,0.0,728.38414,1904.6719,0.0,908.0,1493.5625,0.0,1522.714,104.43164,1461.8056,10164.691,1585.9319,0.0,1549.0271,712.4844,1620.038,592.8972,742.14,0.0,739.2338,15923.014,8.843677460833336,6.761483357654167,0.0,0.0
2022-11-01 07:00:00,1590.2778,25010.002,723.1951,24000.066,1856.6519,15871.0,1850.142,26482.707,688.95996,8903.754,709.603,0.0,728.38414,1904.6719,0.0,908.0,1525.25,0.0,1546.2239,104.43164,1480.9028,9870.756,1553.9007,0.0,1569.2817,881.8594,1638.4845,851.5419,708.722,0.0,742.135,11918.713,10.080008944166668,6.874045597491668,0.0,0.0
2022-11-01 08:00:00,1590.2778,23022.984,715.4188,24005.045,1864.247,14706.0,1857.9539,28695.469,701.92,7346.0986,709.603,0.0,721.1502,1792.5781,0.0,908.0,1553.9374,0.0,1557.6172,104.43164,1500.0,9090.181,1566.1076,0.0,1578.0526,760.5,1636.5856,2800.5405,692.881,0.0,738.3238,9950.076,9.672082906666665,6.82914575641,0.0,0.0
2022-11-01 09:00:00,1586.8056,23342.322,701.313,24358.215,1891.372,14555.0,1884.862,30287.57,698.56,7975.8525,709.603,0.0,717.67795,1904.4688,0.0,908.0,1540.2501,0.0,1555.3567,104.43164,1496.5278,9178.126,1563.3732,1.0734558,1578.7761,1340.4375,1649.0641,1199.383,687.45595,0.0,738.64627,10598.666,9.80884041,6.850080247749167,0.0,0.0
