ts,100100024_pressure,100100024_flow,100100020_pressure,100100020_flow,100100017_pressure,100100017_flow,79_pressure,79_flow,12167_pressure,12167_flow,100004_pressure,100004_flow,1002196_pressure,1002196_flow,100100028_pressure,100100028_flow,100100006_pressure,100100019_pressure,100100019_flow,100100005_pressure,100100005_flow,100100008_pressure,100100008_flow,100100014_pressure,100100014_flow,11142_pressure,11142_flow,12166_pressure,12166_flow,10012167_flow
2022-08-25 15:00:00,1657.986,20917.68,544.3404,10811.599,1773.1069,30102.0,1747.067,11870.393,699.84,8478.0625,712.7679,0.0,741.91153,1013.46094,1381.3751,1384.13404,1391.4206,1324.6528,10955.882,1394.4284,0.0,1.6203703,1164.0312,1479.2477,526.74976,596.316,8272.5,743.51627,10406.416,0.0
2022-08-25 16:00:00,1656.25,26303.04,558.8079,10776.877,1789.8159,30570.0,1761.606,11775.428,674.56,10454.682,691.74427,393.51135,708.6355,2270.0,1383.9376,647.6609,1411.6753,1343.75,10687.143,1412.5925,0.0,1.7361112,930.53125,1496.6091,519.3767,605.43,8070.75,740.50003,12998.291,0.0
2022-08-25 17:00:00,1652.7777,28117.59,581.956,14930.584,1701.931,26507.0,1681.3159,12378.096,609.76,13438.486,646.30616,1880.656,680.4232,2116.6875,1323.5624,2517.5896,1362.6664,1307.2917,10924.59,1377.4363,0.0,1.6203703,1068.4375,1455.9183,645.2997,613.242,7084.125,741.06,17692.883,0.0
2022-08-25 18:00:00,1652.7777,29870.709,544.06915,15403.235,1618.82,25930.0,1662.22,12476.182,641.76,11204.727,656.3659,1624.0278,685.9933,2334.7812,1243.1874,652.57935,1282.733,1222.2222,10754.581,1292.6708,1.2716675,1.7361112,1157.9688,1359.8878,1697.4412,596.09896,8285.25,740.90254,17218.824,0.0
2022-08-25 19:00:00,1656.25,29370.787,588.7376,14983.949,1643.775,26227.0,1662.22,12476.182,707.35997,6975.0605,716.6109,0.0,687.29544,2326.125,1284.1876,649.9132,1314.0191,1234.375,10387.322,1306.538,2.038391,1.6203703,924.1875,1382.4035,348.83563,627.347,7560.25,745.0975,10600.58,0.0
2022-08-25 20:00:00,1652.7777,24603.955,652.033,14147.066,1744.0289,26085.0,1662.22,12476.182,725.28,5907.673,730.28755,0.0,687.29544,2326.125,1411.125,649.79456,1432.4725,1354.1667,9470.433,1421.8699,0.0,1.7361112,1284.5625,1499.3218,342.43628,670.747,7679.5,747.17003,7303.217,0.0
2022-08-25 21:00:00,1652.7777,19381.969,793.453,11548.495,1762.6909,18929.0,1662.22,12476.182,734.07996,4572.463,735.826,0.0,687.29544,2326.125,1523.5,54.068176,1537.905,1467.014,9008.047,1481.9282,0.0,1.6203703,937.34375,1601.049,326.12305,820.911,8712.5,746.4126,6095.0664,0.0
2022-08-25 22:00:00,1647.5694,18267.98,869.95,9610.304,1639.0009,9844.0,1662.22,12476.182,731.83995,3907.942,737.1824,0.0,687.29544,2326.125,1541.6875,0.0,1535.3733,1482.6388,9088.009,1481.9282,0.0,1.6782407,1128.9688,1572.8366,539.8523,915.08895,9115.25,743.9463,6453.6885,0.0
2022-08-25 23:00:00,1642.3612,18030.924,875.9179,0.0,1663.522,15631.0,1662.22,12476.182,744.64,2564.7817,748.3724,0.0,687.29544,2326.125,1517.4999,0.0,1522.714,1458.3333,8933.768,1481.9282,0.0,1.6782407,842.2344,1552.4912,490.07147,922.901,7843.25,746.1063,4070.9644,0.0
2022-08-26 00:00:00,1651.0416,2707.587,893.3693,0.0,1658.314,16967.0,1662.22,12476.182,740.79996,2968.5684,741.13846,0.0,687.29544,2326.125,1495.8749,0.0,1459.5993,1406.25,9401.456,1481.9282,0.0,1.7361112,862.96875,1519.9385,638.20605,940.044,6961.0,745.44007,4324.0176,0.0
